date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:18:46	3309/3309	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2019:09:21%20GMT	https://www.terraria.org/	C:/My%20Web%20Sites/gj/www.terraria.org/index.html	(from )
11:18:46	1632/1632	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20May%202024%2019:09:21%20GMT	https://www.terraria.org/robots.txt		(from )
11:18:47	4286/4286	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2210be-18f82ced392%22	https://www.terraria.org/favicon.ico	C:/My%20Web%20Sites/gj/www.terraria.org/favicon.ico	(from https://www.terraria.org/)
11:18:47	8147/8147	---M--	200	added ('OK')	image/png	etag:W/%221fd3-18f82ced38f%22	https://www.terraria.org/apple-touch-icon.png	C:/My%20Web%20Sites/gj/www.terraria.org/apple-touch-icon.png	(from https://www.terraria.org/)
11:18:49	400/400	---MCZ	200	added ('OK')	application/json	etag:W/%22190-18f82ced392%22	https://www.terraria.org/manifest.json	C:/My%20Web%20Sites/gj/www.terraria.org/manifest.json	(from https://www.terraria.org/)
11:18:49	171/171	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jun%202024%2008:18:51%20GMT	http://terraria.org/TerrariaLogoOG.png	C:/My%20Web%20Sites/gj/terraria.org/TerrariaLogoOG.3.delayed	(from https://www.terraria.org/)
11:18:51	85298/85298	---M--	200	added ('OK')	image/png	etag:W/%2214d32-17b74aa6040%22	https://terraria.org/TerrariaLogoOG.png	C:/My%20Web%20Sites/gj/terraria.org/TerrariaLogoOG.png	(from https://www.terraria.org/)
11:18:51	22741/22741	---MCZ	200	added ('OK')	text/css	etag:W/%225915-18f82cf17cd%22	https://www.terraria.org/static/css/2.333d6386.chunk.css	C:/My%20Web%20Sites/gj/www.terraria.org/static/css/2.333d6386.chunk.css	(from https://www.terraria.org/)
11:18:52	266820/266820	---MCZ	200	added ('OK')	text/css	etag:W/%22412b1-18f82cf17ca%22	https://www.terraria.org/static/css/main.19331e32.chunk.css	C:/My%20Web%20Sites/gj/www.terraria.org/static/css/main.19331e32.chunk.css	(from https://www.terraria.org/)
11:18:53	504204/504204	---MCZ	200	added ('OK')	application/javascript	etag:W/%227b1bc-18f82cf17cd%22	https://www.terraria.org/static/js/2.5f927701.chunk.js	C:/My%20Web%20Sites/gj/www.terraria.org/static/js/2.5f927701.chunk.js	(from https://www.terraria.org/)
11:18:53	437996/437996	---MCZ	200	added ('OK')	application/javascript	etag:W/%226af1c-18f82cf17ca%22	https://www.terraria.org/static/js/main.61ebd860.chunk.js	C:/My%20Web%20Sites/gj/www.terraria.org/static/js/main.61ebd860.chunk.js	(from https://www.terraria.org/)
11:18:54	80570/80570	---M--	200	added ('OK')	image/jpeg	etag:W/%2213aba-18f82cf17c6%22	https://www.terraria.org/static/media/background.ea292d81.jpg	C:/My%20Web%20Sites/gj/www.terraria.org/static/media/background.ea292d81.jpg	(from https://www.terraria.org/static/css/main.19331e32.chunk.css)
11:18:55	131995/131995	---M--	200	added ('OK')	image/png	etag:W/%222039b-18f82cf17c6%22	https://www.terraria.org/static/media/bar.282c97cf.png	C:/My%20Web%20Sites/gj/www.terraria.org/static/media/bar.282c97cf.png	(from https://www.terraria.org/static/css/main.19331e32.chunk.css)
11:18:55	28187/28187	---M--	200	added ('OK')	image/jpeg	etag:W/%226e1b-18f82cf17c6%22	https://www.terraria.org/static/media/active_bar.5c9f76b2.jpg	C:/My%20Web%20Sites/gj/www.terraria.org/static/media/active_bar.5c9f76b2.jpg	(from https://www.terraria.org/static/css/main.19331e32.chunk.css)
11:18:56	13793/13793	---M--	200	added ('OK')	image/png	etag:W/%2235e1-18f82cf17c6%22	https://www.terraria.org/static/media/buy_bar.84cec77d.png	C:/My%20Web%20Sites/gj/www.terraria.org/static/media/buy_bar.84cec77d.png	(from https://www.terraria.org/static/css/main.19331e32.chunk.css)
11:18:57	17497/17497	---M--	200	added ('OK')	image/gif	etag:W/%224459-18f82cf17c6%22	https://www.terraria.org/static/media/buy_icons.e8a206ab.gif	C:/My%20Web%20Sites/gj/www.terraria.org/static/media/buy_icons.e8a206ab.gif	(from https://www.terraria.org/static/css/main.19331e32.chunk.css)
